PLAYER_ID,PLAYER_NAME,0,1,rank
203919,Jordan Adams,4,2,350
203921,Cleanthony Early,28,12,351
203922,Glenn Robinson III,86,65,352
203923,James Young,25,11,353
203924,Jerami Grant,348,251,354
203926,Doug McDermott,353,291,355
203930,Sean Kilpatrick,147,123,356
203932,Aaron Gordon,304,274,357
203933,TJ Warren,220,221,358
203934,Lamar Patterson,52,28,359
203935,Marcus Smart,345,184,360
203937,Kyle Anderson,157,138,361
203939,Dwight Powell,150,146,362
203940,Adreian Payne,92,53,363
203943,Noah Vonleh,161,117,364
203944,Julius Randle,477,358,365
203946,Cameron Bairstow,27,13,366
203948,Johnny O'Bryant III,123,86,367
203949,James Michael McAdoo,39,45,368
203952,Andrew Wiggins,700,594,369
203953,Jabari Parker,456,443,370
203955,Bryce Cotton,6,4,371
203956,Mitch McGary,12,11,372
203960,JaKarr Sampson,176,140,373
203961,Eric Moreland,3,3,374
203962,Josh Huestis,7,5,375
203963,Shayne Whittington,6,5,376
203991,Clint Capela,166,231,377
203994,Jusuf Nurkic,141,101,378
203996,Damien Inglis,23,13,379
203998,Bruno Caboclo,11,1,380
203999,Nikola Jokic,293,307,381
204001,Kristaps Porzingis,513,373,382
204002,Edy Tavares,8,11,383
204014,Damjan Rudez,37,25,384
204020,Tyler Johnson,125,118,385
204025,Tim Frazier,133,96,386
204028,Tarik Black,47,57,387
204038,Langston Galloway,357,231,388
204060,Joe Ingles,167,124,389
204067,Jarell Eddie,45,20,390
204098,Xavier Munford,45,32,391
204456,T.J. McConnell,246,218,392
1626143,Jahlil Okafor,384,397,393
1626144,Emmanuel Mudiay,576,329,394
1626145,Tyus Jones,100,56,395
1626146,Cliff Alexander,5,5,396
1626147,Justin Anderson,104,71,397
1626148,Anthony Brown,87,39,398
1626149,Montrezl Harrell,32,58,399
1626151,Aaron Harrison,14,5,400
1626153,Delon Wright,44,36,401
1626154,RJ Hunter,62,36,402
1626156,D'Angelo Russell,563,391,403
1626157,Karl-Anthony Towns,528,625,404
1626158,Richaun Holmes,108,114,405
1626159,Justise Winslow,266,195,406
1626161,Willie Cauley-Stein,148,191,407
1626162,Kelly Oubre Jr.,121,90,408
1626163,Frank Kaminsky,310,215,409
1626164,Devin Booker,500,367,410
1626166,Cameron Payne,164,114,411
1626167,Myles Turner,266,264,412
1626168,Trey Lyles,245,191,413
1626169,Stanley Johnson,373,225,414
1626170,Jerian Grant,237,154,415
1626171,Bobby Portis,250,186,416
1626172,Kevon Looney,3,4,417
1626173,Rashad Vaughn,184,81,418
1626174,Christian Wood,31,22,419
1626175,Jordan Mickey,14,8,420
1626176,Rakeem Christmas,,2,421
1626178,Rondae Hollis-Jefferson,75,63,422
1626179,Terry Rozier,77,29,423
1626181,Norman Powell,131,97,424
1626183,Branden Dawson,3,2,425
1626185,Jarell Martin,62,54,426
1626191,Chris McCullough,65,44,427
1626192,Pat Connaughton,36,13,428
1626196,Josh Richardson,149,123,429
1626199,Darrun Hilliard,79,52,430
1626202,Joe Young,106,62,431
1626204,Larry Nance Jr.,142,158,432
1626209,Mario Hezonja,237,181,433
1626210,Alan Williams,14,10,434
1626242,Luis Montero,14,5,435
1626245,Cristiano Felicio,32,40,436
1626246,Boban Marjanovic,69,105,437
1626251,Duje Dukan,8,2,438
1626253,Axel Toupane,45,25,439
1626257,Salah Mejri,29,49,440
1626273,Marcelo Huertas,133,97,441
1627362,Briante Weber,25,14,442
9999999,No Name,0,0,443
